교육청명,교육지원청명,유치원명,설립유형,대표자명,원장명,설립일,개원일,주소,전화번호,팩스번호,홈페이지,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,인가총정원수,3세정원수,4세정원수,5세정원수,혼합정원수,특수학급정원수,만3세원아수,만4세원아수,만5세원아수,혼합원아수,특수원아수,위도,경도
강원특별자치도교육청,강릉교육지원청,가온유치원,사립(사인),김양희,김양희,20141015,20150302,강원특별자치도 강릉시 하슬라로20번길 15,033-645-1231,033-645-1230,https://gaon.gwe.kg.kr,0900시0900분~1700시1700분,1,2,2,0,0,120,22,49,49,0,0,22,49,49,0,0,37.7561090100373,128.879358137224
강원특별자치도교육청,강릉교육지원청,강동초등학교병설유치원,공립(병설),최돈준,최돈준,19810301,19810301,강원특별자치도 강릉시 단경로 20,033-645-7266,033-645-0413,http://kangdong.gwe.es.kr,0900시0900분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,6,0,37.7248744427,128.9628849904
강원특별자치도교육청,강릉교육지원청,강릉유치원,사립(사인),이상천,박지희(직무대리),19830310,19830310,강원특별자치도 강릉시 해안로 333,033-652-9360,033-651-9362,http://gangneung-kids.gwe.kg.kr,0800시0800분~1830시1830분,1,1,1,0,0,78,22,26,26,0,0,22,25,21,0,0,37.7938208312921,128.916756777
강원특별자치도교육청,강릉교육지원청,강릉초등학교병설유치원,공립(병설),고문석,고문석,19810310,19810310,강원특별자치도 강릉시 토성로 103,033-650-2670,033-645-2554,http://kangnung.gwe.es.kr/,0800시0800분~1900시1900분,1,1,1,0,0,56,8,7,13,0,0,8,7,13,0,0,37.75404195,128.8879943579
강원특별자치도교육청,강릉교육지원청,경포대초등학교병설유치원,공립(병설),박미숙,박미숙,19810301,19810301,강원특별자치도 강릉시 경포로475번길 23-11,033-610-8961,033-644-9702, ,1300시1300분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,8,0,37.8048715961,128.899677271
강원특별자치도교육청,강릉교육지원청,경포유치원,공립(단설),김갑주,김갑주,20030901,20030901,강원도 강릉시 솔올로 90,033-647-1680,033-647-1687,http://kyongpo.gwe.kg.kr,0730시0730분~1830시1830분,1,2,2,0,1,98,14,40,40,0,4,14,40,40,0,5,37.7696003696,128.879247709
강원특별자치도교육청,강릉교육지원청,교동초등학교병설유치원,공립(병설),배정호,배정호,19810301,19810301,강원특별자치도 강릉시 율곡로2968번길 10,033-640-3571,033-645-0475,http://krkyodong.gwe.es.kr,0900시0900분~1700시1700분,0,0,1,1,0,36,0,0,22,14,0,0,0,12,6,0,37.7673109711,128.8935874747
강원특별자치도교육청,강릉교육지원청,구정초등학교병설유치원,공립(병설),김기환,김기환,19810310,19810310,강원특별자치도 강릉시 범일로 266-14,033-647-9608,033-647-9604,http://gujoung.gwe.es.kr,1300시1300분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,5,0,37.7178635025,128.8909700212
강원특별자치도교육청,강릉교육지원청,금광초등학교병설유치원,공립(병설),김진홍,김진홍,19440624,19810318,강원특별자치도 강릉시 구정면 금평로 575,033-646-9424,033-647-4980,http://www.kumkwang.gwe.es.kr/,1300시1300분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,2,0,37.7038847677,128.9135568633
강원특별자치도교육청,강릉교육지원청,남산초등학교병설유치원,공립(병설),김석남,김석남,19910310,19910310,강원특별자치도 강릉시 남산초교길 33,033-650-4705,033-650-4777,https://namsan-n.gwe.es.kr/main.do?s=namsan_n,0900시0900분~1700시1700분,0,0,1,1,0,36,0,0,22,14,0,0,0,4,6,0,37.7444900605,128.8923762565
강원특별자치도교육청,강릉교육지원청,노암초등학교병설유치원,공립(병설),장진수,장진수,19800301,19801014,강원특별자치도 강릉시 노암등길 71,033-640-6174,033-641-1419,https://noam-kw.gwe.es.kr/main.do?s=noam_kw,0900시0900분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,8,0,37.7415112683,128.9022680988
강원특별자치도교육청,강릉교육지원청,늘해랑유치원,공립(단설),이현숙,이현숙,20220301,20220301,강원특별자치도 강릉시 명주로17번길 24-1,033-823-2333,033-823-2329,https://neulhaerang.gwe.kg.kr,1300시1300분~1700시1700분,1,2,2,0,1,98,14,40,44,0,5,13,37,42,0,4,37.7514395254477,128.887837170441
강원특별자치도교육청,강릉교육지원청,다인유치원,사립(사인),김상희,김상희(직무대리),20070223,20070301,강원특별자치도 강릉시 성덕로 232-11,033-652-7701,070-4355-4748,https://dain.gwe.kg.kr,0800시0800분~1900시1900분,2,1,2,0,0,130,48,26,56,0,0,48,26,52,0,0,37.7601424992854,128.929536803627
강원특별자치도교육청,강릉교육지원청,명주초등학교병설유치원,공립(병설),김종표,김종표,19810301,19810301,강원도 강릉시 강변로 86-1,033-645-1735,033-645-1712, ,1300시1300분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,5,0,37.7427762322,128.8784682494
강원특별자치도교육청,강릉교육지원청,모산초등학교병설유치원,공립(병설),박춘옥,박춘옥,19810310,19810310,강원특별자치도 강릉시 모산로224번길 3,033-645-1399,033-645-1351,https://mosan1356.gwe.es.kr,1300시1300분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,5,0,37.7317435875,128.9021757597
강원특별자치도교육청,강릉교육지원청,사천초등학교병설유치원,공립(병설),한기철,한기철,19810310,19810310,강원특별자치도 강릉시 미노길 46,033-660-6571,033-644-0748,http://kwsachon.gwe.es.kr/boardCnts/list.do?boardID=68458&m=020601&s=kwsachon,1300시1300분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,2,0,37.822018296276,128.849767852642
강원특별자치도교육청,강릉교육지원청,성산초등학교병설유치원,공립(병설),김윤숙,김윤숙,19870304,19870304,강원특별자치도 강릉시 구산길 15,033-640-9420,033-641-9007,http://seongsan.gwe.es.kr,0830시0830분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,6,0,37.7181276241,128.8331694392
강원특별자치도교육청,강릉교육지원청,성원유치원,사립(사인),최은서,전주현,20030113,20030113,강원특별자치도 강릉시 강변로 78,033-642-0143,033-642-0141,http://www.sungwonkid.com/,0900시0900분~1700시1700분,2,2,2,0,0,156,48,52,56,0,0,36,40,42,0,0,37.7438529165073,128.877571167801
강원특별자치도교육청,강릉교육지원청,소화유치원,사립(사인),홍은경,홍은경,19670310,19670310,강원특별자치도 강릉시 임영로 148,033-643-3191,033-641-6383, ,0800시0800분~1830시1830분,1,2,1,0,0,106,22,48,28,0,0,22,33,28,0,0,37.7546871949911,128.892430020848
강원특별자치도교육청,강릉교육지원청,솔향유치원,공립(단설),김은정,김은정,20121010,20160301,강원특별자치도 강릉시 보래미하길 78,033-650-0910,033-653-8517,http://solhyang.gwe.kg.kr/,1300시1300분~1700시1700분,1,2,2,0,1,98,14,39,41,0,5,14,39,41,0,5,37.7755028991458,128.914127094563
강원특별자치도교육청,강릉교육지원청,신영초등학교병설유치원,공립(병설),박동삼,박동삼,19810301,19810301,강원특별자치도 강릉시 주문북로 160,033-660-6082,033-661-3534, ,0900시0900분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.9059289442715,128.821989413722
강원특별자치도교육청,강릉교육지원청,신왕초등학교병설유치원,공립(병설),이성우,이성우,19810301,19810301,강원특별자치도 강릉시 진고개로 2265-11,033-660-7511,033-661-5993, ,0900시0900분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,6,0,37.8535948346737,128.787295450595
강원특별자치도교육청,강릉교육지원청,연곡초등학교병설유치원,공립(병설),김미화,김미화,20070308,20070301,강원특별자치도 강릉시 진고개로 2656,033-662-6056,033-661-7006,http://youngok.gwe.es.kr/main.do,0840시0840분~1640시1640분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,6,0,37.8559852601,128.8292810147
강원특별자치도교육청,강릉교육지원청,영동초등학교병설유치원,공립(병설),유제호,유제호,19850922,19850922,강원특별자치도 강릉시 화부산로 28,033-650-6790,033-650-6799,http://yeongdong.gwe.es.kr,0900시0900분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,13,0,37.7605047595,128.8867040542
강원특별자치도교육청,강릉교육지원청,옥계초등학교병설유치원,공립(병설),이경록,이경록,19800301,19800301,강원특별자치도 강릉시 옥계로 1074,070-4343-7512,033-534-1007,https://okgye.gwe.es.kr/main.do,1300시1300분~1700시1700분,0,0,0,1,0,16,0,0,0,9,0,0,0,0,9,0,37.609454861,129.035298568
강원특별자치도교육청,강릉교육지원청,옥천초등학교병설유치원,공립(병설),김병두,김병두,20190301,20190301,강원특별자치도 강릉시 수문길 25,033-650-6895,033-648-2048,http://okcheon.gwe.es.kr/boardCnts/list.do?boardID=69281&m=1001&s=okcheones,0900시0900분~1700시1700분,0,0,1,1,0,36,0,0,22,14,0,0,0,10,6,0,37.7557567673504,128.903243527637
강원특별자치도교육청,강릉교육지원청,왕산초등학교병설유치원,공립(병설),이창언,이창언,19360804,19360804,강원특별자치도 강릉시 백두대간로 2011-8,033-648-6131,033-648-6132,http://wangsan.gwe.es.kr/,1240시1240분~1640시1640분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,3,0,37.6736007327,128.8368602365
강원특별자치도교육청,강릉교육지원청,유천초등학교병설유치원,공립(병설),임금록,임금록,20200301,20200301,강원특별자치도 강릉시 선수촌로 100,033-640-1370,033-641-8099,http://yucheon.gwe.es.kr/main.do,1300시1300분~1700시1700분,0,1,1,0,1,46,0,20,22,0,4,0,13,7,0,4,37.7600112438555,128.871127555879
강원특별자치도교육청,강릉교육지원청,정동초등학교병설유치원,공립(병설),김동옥,김동옥,19810320,19810320,강원도 강릉시 강동면 헌화로 1055,033-650-8930,033-644-5387,http://jeongdong.gwe.es.kr,1300시1300분~1700시1700분,0,0,0,1,0,16,0,0,0,16,0,0,0,0,1,0,37.6874927128,129.0328461658
강원특별자치도교육청,강릉교육지원청,제이엠유치원,사립(사인),박영옥,김미경,20131101,20140301,강원특별자치도 강릉시 성덕로 328-1,033-655-9494,033-646-9495,http://jmedu.kidis.co.kr,0900시0900분~1900시1900분,1,2,1,0,0,156,24,22,24,0,0,20,23,17,0,0,37.7535554715982,128.92087173927
강원특별자치도교육청,강릉교육지원청,좋은유치원,사립(사인),이호전,이호전,19881111,19881111,강원특별자치도 강릉시 남부로136번길 19,033-642-6197,033-642-6198, ,0900시0900분~1600시1600분,2,2,2,0,0,120,35,43,42,0,0,34,46,40,0,0,37.7406153617231,128.896275866961
강원특별자치도교육청,강릉교육지원청,주문진초등학교병설유치원,공립(병설),황은희 ,황은희 ,19820301,19820301,강원도 강릉시 주문진읍 주문로 26,033-661-2431,033-661-3290,https://jumunjin.gwe.es.kr/sub/info.do?m=2001&s=jumunjines,1300시1300분~1700시1700분,1,1,1,0,0,56,14,20,22,0,0,10,5,5,0,0,37.8868828392,128.8266409287
